Stock_ID,Weight
Stock_1,3.248196586664465e-14
Stock_2,1.5313032664454134e-13
Stock_3,3.017357785908478e-14
Stock_4,7.683688983503615e-14
Stock_5,7.536531215957459e-14
Stock_6,1.0848109327045803e-13
Stock_7,0.0
Stock_8,0.0
Stock_9,0.033411666400130755
Stock_10,1.2346657829411448e-14
Stock_11,4.080883729365988e-14
Stock_12,5.303415650102716e-14
Stock_13,1.771896665966775e-13
Stock_14,1.421402725595434e-13
Stock_15,2.7678146256011997e-14
Stock_16,1.415254970138613e-15
Stock_17,6.299180918710644e-14
Stock_18,0.0
Stock_19,7.80436343307734e-14
Stock_20,3.754451086261484e-14
Stock_21,1.3389815767075332e-14
Stock_22,0.0
Stock_23,8.04071573392804e-15
Stock_24,0.0
Stock_25,1.113589986998598e-13
Stock_26,1.4847068327535223e-14
Stock_27,8.98825908281985e-14
Stock_28,0.0
Stock_29,8.546457742165203e-14
Stock_30,0.0
Stock_31,4.35170988370149e-14
Stock_32,0.0
Stock_33,4.140611106486374e-14
Stock_34,0.03339636253382384
Stock_35,0.0
Stock_36,5.179713183929725e-14
Stock_37,1.522755857060128e-13
Stock_38,1.8077442119122746e-13
Stock_39,0.0
Stock_40,2.4467980478043972e-14
Stock_41,9.94160489056156e-14
Stock_42,4.850256158229504e-14
Stock_43,2.4066946071029143e-14
Stock_44,5.620948020784509e-14
Stock_45,4.234989756019457e-14
Stock_46,1.7861140804633588e-14
Stock_47,7.905082924922274e-14
Stock_48,0.0
Stock_49,0.03326168364462661
Stock_50,0.0
Stock_51,0.0
Stock_52,6.74231431072553e-14
Stock_53,9.0168768528921e-14
Stock_54,0.033369268803813065
Stock_55,7.141579446959585e-14
Stock_56,5.737940587827539e-14
Stock_57,8.31073150772327e-14
Stock_58,1.8286223529661662e-13
Stock_59,0.0
Stock_60,0.0
Stock_61,0.0333799111910389
Stock_62,0.03339680171223759
Stock_63,6.2040815313855965e-15
Stock_64,0.0
Stock_65,1.0291772927721715e-13
Stock_66,5.370670350020637e-14
Stock_67,3.3807858554378985e-14
Stock_68,0.0
Stock_69,0.0
Stock_70,0.0
Stock_71,4.6963699466778924e-14
Stock_72,5.104596583917944e-15
Stock_73,6.895060302200952e-14
Stock_74,1.0511128662116984e-13
Stock_75,5.6062794829342595e-14
Stock_76,3.773862711432012e-14
Stock_77,4.1917867386231706e-14
Stock_78,0.0
Stock_79,7.501575504724321e-14
Stock_80,8.716515513290296e-14
Stock_81,6.614465197178308e-14
Stock_82,9.129905646203623e-14
Stock_83,6.516526057719862e-14
Stock_84,0.0
Stock_85,7.619062981244782e-14
Stock_86,8.031208181681582e-14
Stock_87,2.907765386078723e-14
Stock_88,8.05156665881119e-14
Stock_89,0.0
Stock_90,8.437237045043479e-14
Stock_91,0.0
Stock_92,7.267899908732791e-14
Stock_93,1.3202525262694173e-13
Stock_94,5.757816106334404e-14
Stock_95,0.0
Stock_96,7.376487934779595e-14
Stock_97,3.567186327099448e-14
Stock_98,8.549358492207877e-14
Stock_99,3.351462109646583e-14
Stock_100,7.538472555933611e-14
Stock_101,1.1499195495996954e-13
Stock_102,0.0
Stock_103,0.0
Stock_104,0.0
Stock_105,3.4541289616249915e-14
Stock_106,1.220812230875376e-13
Stock_107,0.0
Stock_108,6.149735191473687e-14
Stock_109,4.8571358628444295e-14
Stock_110,0.0
Stock_111,8.044979487003712e-14
Stock_112,7.176592494747793e-14
Stock_113,1.0334398641236802e-13
Stock_114,1.8221018082290774e-13
Stock_115,1.8443086544038125e-13
Stock_116,7.742739174726666e-14
Stock_117,1.0216036906550975e-14
Stock_118,0.033356365177779235
Stock_119,4.5278609643005076e-14
Stock_120,1.2062596378040532e-14
Stock_121,0.0
Stock_122,0.0
Stock_123,1.7272553658628628e-14
Stock_124,6.032250178655425e-14
Stock_125,0.0
Stock_126,8.407839322979203e-14
Stock_127,5.5726024487981935e-15
Stock_128,4.558577960171999e-14
Stock_129,8.489177745452542e-15
Stock_130,0.0
Stock_131,0.0
Stock_132,3.930233621512077e-14
Stock_133,4.670916847763061e-14
Stock_134,8.331099555666148e-14
Stock_135,0.0
Stock_136,5.37935399337934e-14
Stock_137,1.813263605381426e-13
Stock_138,2.6302821020002328e-14
Stock_139,0.0
Stock_140,0.0
Stock_141,2.2859351095959953e-14
Stock_142,0.03359513259536124
Stock_143,2.1773395300429143e-14
Stock_144,7.919006671759788e-14
Stock_145,1.6434851310072253e-13
Stock_146,0.0
Stock_147,1.84546800175773e-13
Stock_148,3.268922643505073e-14
Stock_149,1.0185108743612942e-13
Stock_150,0.0
Stock_151,0.0
Stock_152,1.95026700245087e-15
Stock_153,0.0
Stock_154,6.921609392790024e-14
Stock_155,0.0
Stock_156,0.0
Stock_157,3.7149134037520064e-14
Stock_158,5.372253827170496e-14
Stock_159,1.6235995181352336e-13
Stock_160,9.09970783458072e-14
Stock_161,7.19369237795557e-14
Stock_162,1.8281763795592103e-13
Stock_163,8.839553544740039e-14
Stock_164,2.1089106438613806e-14
Stock_165,0.032754940256092734
Stock_166,0.03338408362431716
Stock_167,6.443018908161954e-14
Stock_168,0.0
Stock_169,3.0592178537652313e-14
Stock_170,5.952897413681213e-14
Stock_171,6.329677796053991e-14
Stock_172,2.7882017530806394e-14
Stock_173,5.110306437249485e-14
Stock_174,1.1970418370522052e-13
Stock_175,5.514318151719337e-14
Stock_176,0.0
Stock_177,6.671213028250479e-14
Stock_178,0.0
Stock_179,2.3948974486617647e-14
Stock_180,3.785138196530481e-14
Stock_181,1.2786243291623659e-13
Stock_182,8.490151342172303e-14
Stock_183,7.044397890115964e-14
Stock_184,1.318311215247034e-13
Stock_185,6.963491521190342e-15
Stock_186,8.190649738084662e-14
Stock_187,4.389146192950186e-14
Stock_188,0.033471418567895664
Stock_189,8.393867610600769e-14
Stock_190,4.993086379200318e-15
Stock_191,4.2213472625021397e-14
Stock_192,7.221619397488717e-14
Stock_193,1.141448764105646e-13
Stock_194,3.2215830573194286e-14
Stock_195,3.027691456932389e-14
Stock_196,6.57260623635743e-14
Stock_197,7.322870342310528e-14
Stock_198,9.70535014947655e-15
Stock_199,0.0
Stock_200,5.574821403336481e-14
Stock_201,3.532587402415371e-14
Stock_202,7.743358074528861e-14
Stock_203,5.33115972477357e-14
Stock_204,5.657211176617224e-14
Stock_205,7.075064597832134e-14
Stock_206,0.0
Stock_207,4.2989420940456645e-14
Stock_208,6.670643866111557e-14
Stock_209,1.8234795414185713e-14
Stock_210,2.066881132528672e-14
Stock_211,0.0
Stock_212,6.01387913668381e-14
Stock_213,5.0842016331432347e-14
Stock_214,7.393920599010538e-14
Stock_215,0.03343783731158298
Stock_216,0.033423399683279925
Stock_217,0.0
Stock_218,0.033520573908607215
Stock_219,0.0
Stock_220,2.6375431350270315e-14
Stock_221,7.300323301819041e-14
Stock_222,3.888559246842292e-14
Stock_223,6.816743840543674e-14
Stock_224,3.689511800277971e-14
Stock_225,8.991698181006905e-14
Stock_226,4.810139798201606e-14
Stock_227,5.0977849483559325e-14
Stock_228,8.499757873333637e-15
Stock_229,0.0
Stock_230,5.969492694610222e-14
Stock_231,1.2804196123100684e-13
Stock_232,7.037022657465782e-14
Stock_233,4.104201128062413e-14
Stock_234,6.512654521557638e-14
Stock_235,7.529084687207336e-15
Stock_236,1.252133806108907e-13
Stock_237,4.1229336757533596e-14
Stock_238,0.03352596203384077
Stock_239,6.516796732846224e-14
Stock_240,6.211106623092647e-14
Stock_241,2.7911925733657815e-14
Stock_242,5.113792152700053e-14
Stock_243,3.855558958215346e-14
Stock_244,0.0
Stock_245,0.0
Stock_246,5.139383631720708e-15
Stock_247,0.0
Stock_248,2.960175074881272e-14
Stock_249,7.133807076361517e-14
Stock_250,1.9760614004081436e-14
Stock_251,5.567755344023863e-14
Stock_252,3.9392702589848404e-14
Stock_253,7.829790020320801e-14
Stock_254,1.729367920017924e-14
Stock_255,9.451815330087515e-15
Stock_256,7.415648671094265e-14
Stock_257,5.523996375310732e-14
Stock_258,1.449557789378699e-13
Stock_259,0.0
Stock_260,0.0
Stock_261,6.169754774634375e-14
Stock_262,6.866158472999925e-14
Stock_263,6.637050628573352e-14
Stock_264,2.8275346404624655e-14
Stock_265,3.1192377336681e-14
Stock_266,0.0
Stock_267,1.805474238576817e-14
Stock_268,0.0
Stock_269,4.6258425895236516e-14
Stock_270,0.03319339265382259
Stock_271,5.746216146566694e-14
