Stock_ID,Weight
Stock_1,6.95E-14
Stock_2,3.92E-14
Stock_3,1.81E-14
Stock_4,5.12E-14
Stock_5,9.45E-14
Stock_6,1.43E-13
Stock_7,3.79E-14
Stock_8,1.85E-14
Stock_9,2.22E-13
Stock_10,2.14E-13
Stock_11,1.82E-14
Stock_12,3.35E-14
Stock_13,2.21E-13
Stock_14,3.74E-14
Stock_15,1.81E-14
Stock_16,1.81E-14
Stock_17,1.84E-14
Stock_18,4.35E-14
Stock_19,2.21E-13
Stock_20,1.81E-14
Stock_21,6.83E-14
Stock_22,1.79E-14
Stock_23,1.86E-13
Stock_24,1.80E-14
Stock_25,1.81E-14
Stock_26,1.93E-13
Stock_27,1.81E-14
Stock_28,1.80E-14
Stock_29,2.21E-13
Stock_30,1.81E-14
Stock_31,2.08E-13
Stock_32,2.21E-13
Stock_33,1.78E-14
Stock_34,1.81E-14
Stock_35,1.81E-14
Stock_36,1.82E-14
Stock_37,2.21E-13
Stock_38,1.79E-14
Stock_39,1.83E-14
Stock_40,1.80E-14
Stock_41,5.84E-14
Stock_42,1.81E-14
Stock_43,1.82E-14
Stock_44,2.00E-13
Stock_45,7.25E-14
Stock_46,1.41E-13
Stock_47,1.80E-14
Stock_48,2.21E-13
Stock_49,1.80E-14
Stock_50,1.79E-14
Stock_51,1.83E-14
Stock_52,1.84E-14
Stock_53,5.27E-14
Stock_54,1.80E-14
Stock_55,1.30E-13
Stock_56,1.83E-14
Stock_57,4.03E-14
Stock_58,1.83E-14
Stock_59,1.78E-14
Stock_60,1.82E-14
Stock_61,2.21E-13
Stock_62,8.81E-14
Stock_63,1.81E-14
Stock_64,1.11E-13
Stock_65,2.21E-13
Stock_66,2.16E-14
Stock_67,4.71E-14
Stock_68,1.83E-14
Stock_69,1.81E-14
Stock_70,4.99E-14
Stock_71,1.46E-13
Stock_72,2.21E-13
Stock_73,2.21E-13
Stock_74,1.25E-13
Stock_75,1.86E-14
Stock_76,1.80E-14
Stock_77,9.13E-14
Stock_78,1.83E-14
Stock_79,1.80E-14
Stock_80,1.53E-13
Stock_81,2.21E-13
Stock_82,4.16E-14
Stock_83,1.29E-13
Stock_84,1.88E-14
Stock_85,1.37E-13
Stock_86,1.78E-13
Stock_87,1.80E-14
Stock_88,2.21E-13
Stock_89,1.82E-14
Stock_90,6.65E-14
Stock_91,1.80E-14
Stock_92,1.81E-14
Stock_93,1.38E-13
Stock_94,9.72E-14
Stock_95,1.81E-14
Stock_96,2.21E-13
Stock_97,1.81E-14
Stock_98,1.81E-14
Stock_99,2.21E-13
Stock_100,5.28E-14
Stock_101,1.82E-14
Stock_102,1.80E-14
Stock_103,2.11E-13
Stock_104,1.63E-13
Stock_105,1.81E-14
Stock_106,1.80E-14
Stock_107,1.82E-14
Stock_108,1.81E-14
Stock_109,1.83E-14
Stock_110,1.82E-14
Stock_111,1.82E-14
Stock_112,3.01E-14
Stock_113,1.81E-14
Stock_114,1.81E-14
Stock_115,1.84E-14
Stock_116,1.81E-14
Stock_117,1.81E-14
Stock_118,6.49E-14
Stock_119,1.86E-14
Stock_120,1.84E-14
Stock_121,1.81E-14
Stock_122,1.81E-14
Stock_123,1.83E-14
Stock_124,1.98E-13
Stock_125,2.73E-14
Stock_126,1.83E-14
Stock_127,1.77E-14
Stock_128,1.81E-14
Stock_129,1.80E-14
Stock_130,1.82E-14
Stock_131,1.81E-14
Stock_132,4.99E-14
Stock_133,1.78E-14
Stock_134,2.21E-13
Stock_135,1.81E-14
Stock_136,1.81E-14
Stock_137,2.21E-13
Stock_138,1.81E-14
Stock_139,1.80E-14
Stock_140,1.80E-14
Stock_141,1.79E-14
Stock_142,1.80E-13
Stock_143,2.21E-13
Stock_144,2.21E-13
Stock_145,1.81E-14
Stock_146,1.79E-14
Stock_147,1.83E-14
Stock_148,2.21E-13
Stock_149,2.21E-13
Stock_150,1.81E-14
Stock_151,5.38E-14
Stock_152,2.21E-13
Stock_153,1.82E-14
Stock_154,1.75E-13
Stock_155,1.82E-14
Stock_156,1.86E-14
Stock_157,1.80E-14
Stock_158,1.01E-13
Stock_159,9.97E-14
Stock_160,2.21E-13
Stock_161,2.21E-13
Stock_162,1.81E-14
Stock_163,1.60E-13
Stock_164,2.21E-13
Stock_165,1.80E-14
