Stock_ID,Weight
Stock_1,1.665023345906497e-14
Stock_2,1.6651767504344943e-14
Stock_3,1.6650750311901896e-14
Stock_4,1.6648019542024716e-14
Stock_5,8.88664508685922e-15
Stock_6,1.6655280523679297e-14
Stock_7,1.0316143474596512e-14
Stock_8,1.2985487348049762e-15
Stock_9,6.817802775955058e-15
Stock_10,2.060206554626138e-15
Stock_11,4.676406338927784e-15
Stock_12,1.288528552540466e-14
Stock_13,1.664546810462087e-14
Stock_14,1.1223399367538484e-14
Stock_15,1.2963353812842536e-15
Stock_16,5.127349828845622e-15
Stock_17,1.2992766767554215e-15
Stock_18,3.1949055986950585e-15
Stock_19,6.953042736951781e-15
Stock_20,1.305330374545992e-15
Stock_21,4.7139215739033425e-15
Stock_22,1.6647637843515192e-14
Stock_23,7.957106159731365e-15
Stock_24,1.317408739749911e-15
Stock_25,2.579526347051767e-15
Stock_26,1.1855874466244376e-14
Stock_27,8.602872964567443e-15
Stock_28,1.2930091692894415e-15
Stock_29,6.838882936572875e-15
Stock_30,1.3039238339718324e-15
Stock_31,1.3141596120242452e-15
Stock_32,8.162468429113056e-15
Stock_33,1.2987429453763392e-15
Stock_34,1.3053081976970798e-15
Stock_35,1.4336160403261617e-14
Stock_36,1.0785877254505162e-14
Stock_37,1.3095531136899984e-15
Stock_38,6.532158084800342e-15
Stock_39,1.3006508393658471e-15
Stock_40,1.3019052050118291e-15
Stock_41,1.5143964127946656e-15
Stock_42,3.712296187840883e-15
Stock_43,1.8592955361381674e-15
Stock_44,8.261777506209182e-15
Stock_45,3.3801778601060525e-15
Stock_46,0.19999999999811274
Stock_47,1.3060423056745187e-15
Stock_48,1.303760386523167e-15
Stock_49,1.4595113654431514e-14
Stock_50,1.3061043827091853e-15
Stock_51,1.3143597841811357e-15
Stock_52,8.858540099520088e-15
Stock_53,5.7463164837744585e-15
Stock_54,1.6647991706540388e-14
Stock_55,1.3234768689345836e-14
Stock_56,2.2488430756819406e-15
Stock_57,2.107435634034194e-15
Stock_58,1.6637780757262578e-14
Stock_59,1.3235401533451692e-15
Stock_60,1.3154148042451912e-15
Stock_61,1.6640466378896908e-14
Stock_62,1.3072847481279713e-15
Stock_63,1.3127066114851032e-15
Stock_64,1.3976153530942735e-14
Stock_65,1.32431515509875e-15
Stock_66,1.2344263879127252e-14
Stock_67,1.6645057956828906e-14
Stock_68,9.528441129884069e-15
Stock_69,1.6646418584705973e-14
Stock_70,1.2982182404127294e-15
Stock_71,6.217610681227173e-15
Stock_72,1.358385422976795e-14
Stock_73,1.3035488531751127e-15
Stock_74,1.5901774795089006e-14
Stock_75,1.3008498850084415e-15
Stock_76,1.2963197188699587e-15
Stock_77,1.6646233462893807e-14
Stock_78,5.3435107326477286e-15
Stock_79,1.664593031594916e-14
Stock_80,1.6655547265779926e-14
Stock_81,1.6654355055968828e-14
Stock_82,1.2901414702406565e-14
Stock_83,1.6557124201120042e-14
Stock_84,1.795568556261917e-15
Stock_85,1.0838941733315192e-14
Stock_86,6.6700337721822166e-15
Stock_87,3.835290202542539e-15
Stock_88,4.506279115385209e-15
Stock_89,3.3834517712103547e-15
Stock_90,3.182072605669068e-15
Stock_91,1.3167772845150623e-15
Stock_92,1.304828894984835e-15
Stock_93,4.452466092439181e-15
Stock_94,1.0249307508902474e-14
Stock_95,1.3096389504859542e-15
